isin,symbol,name
IE0008YN55P8,IQSD.DE,InvescoM2-IQS Global Eq ETF   R
LU1130155432,CAHCHA.SW,UBS MSCI Canada UCITS ETF hCHF acc
LU1615090864,EDEU.DE,BNP Paribas Easy Dividend Europe UCITS ETF Capitalisation
BGCZPX003174,CZX.DE,Expat Czech PX UCITS ETF
LU1681042518,VCEU.MI,Amundi Index Solutions - Amundi MSCI Europe Value Factor UCITS ETF-C
IE00BJQRDP39,IQSE.DE,Invesco Global Active ESG Equity UCITS ETF EUR PfHedged Acc
LU0292109187,DBX5.DE,Xtrackers MSCI Taiwan UCITS ETF 1C
IE00BDDRF478,IU5C.DE,iShares V PLC - iShares S&P 500 Communication Sector UCITS ETF
IE00B23LNQ02,PSWD.DE,Invesco RAFI All-World Fundamental Value UCITS ETF
LU0533032859,LYPD.DE,Amundi MSCI World Financials UCITS ETF EUR Acc
IE00BYTRRG40,WTEL.MI,State Street SPDR MSCI World Communication Services UCITS ETF USD Acc
FR0010446658,LEVMIB.MI,Amundi FTSE MIB Daily (2x) Leveraged UCITS ETF Dist
IE00BFNNN236,WTEB.DE,WisdomTree AT1 CoCo Bond UCITS ETF - EUR Hedged
LU1109939865,XHY1.DE,Xtrackers II Rolling Target Maturity Sept 2027 EUR High Yield UCITS ETF 1D
IE00BF5DXP42,BLOK.DE,First Trust Indxx Innovative Transaction & Process UCITS ETF
GB00B00FHZ82,GBS.MI,Gold Bullion Securities
IE00BJQRDN15,IQSA.DE,Invesco Global Active ESG Equity UCITS ETF USD Acc
IE00BJ5JP436,WCMS.AS,iShares MSCI World Communication Services Sector Advanced UCITS ETF USD Inc
NL0009272772,NTM.AS,VanEck Multi-Asset Balanced Allocation UCITS ETF
IE00BFNNN459,COGO.L,WisdomTree AT1 CoCo Bond UCITS ETF - GBP Hedged
XS2820604770,3NVD.MI,Leverage Shares 3x NVIDIA ETC
IE00BD842Y21,DINC.L,FIRST TRUST GLOBAL FUNDS PUBLIC
BGCROEX03189,ECDC.DE,Expat Croatia Crobex UCITS ETF
IE00BMC38736,VVSM.DE,VanEck Semiconductor UCITS ETF
LU0292095535,DXSA.DE,Xtrackers Euro Stoxx Quality Dividend UCITS ETF
FR0007075494,MGT.MI,Amundi DJ Global Titans 50 UCITS ETF Dist
IE00BFWFPX50,ZPDK.DE,State Street SPDR S&P U.S. Communication Services Select Sector UCITS ETF
IE000NVVIF88,H41E.DE,HSBC MSCI Emerging Markets Value Screened UCITS ETF USD Acc
LU0950669845,AW1T.DE,UBS MSCI EMU Value UCITS ETF EUR acc
LU1130155861,CAHUSA.SW,UBS MSCI Canada UCITS ETF hUSD acc
IE00023EZQ82,CBUN.DE,iShares Digital Entertainment and Education UCITS ETF
DE0006289382,EXI2.DE,iShares Dow Jones Global Titans 50 UCITS ETF (DE)
IE00BNC1G707,XUCM.DE,Xtrackers MSCI USA Communication Services UCITS ETF 1D
IE00BMVB5P51,V60A.DE,Vanguard LifeStrategy 60% Equity UCITS ETF (EUR) Accumulating
IE00BMYDM919,LGGE.DE,L&G Europe ex-UK Quality Dividends Equal Weight ETF EUR Dis
IE00BMVB5Q68,V60D.DE,Vanguard LifeStrategy 60% Equity UCITS ETF (EUR) Distributing
IE000VXC51U5,XMAE.DE,Xtrackers MSCI AC World Screened UCITS ETF 2C - EUR Hedged
IE00BM67HL84,XDWF.DE,Xtrackers MSCI World Financials UCITS ETF 1C
IE00BJ5JP097,WFNS.AS,iShares MSCI World Financials Sector Advanced UCITS ETF USD Inc
LU2009202107,EMXC.DE,Amundi MSCI Emerging Ex China UCITS ETF Acc
IE00BMVB5R75,V80A.DE,Vanguard LifeStrategy 80% Equity UCITS ETF (EUR) Accumulating
FR0011660927,WLDH.MI,Amundi MSCI World Swap II UCITS ETF EUR Hedged Dist
DE000ETF7011,F701.DE,Amundi Multi-Asset Portfolio UCITS ETF Dist
IE00BMVB5S82,V80D.DE,Vanguard LifeStrategy 80% Equity UCITS ETF (EUR) Distributing
IE00B652H904,EUNY.DE,iShares EM Dividend UCITS ETF USD (Dist)
IE00B7KMNP07,UBUD.DE,UBS Solactive Global Pure Gold Miners UCITS ETF USD dis
IE00B42YS929,IGWD.L,iShares MSCI World GBP Hedged UCITS ETF (Acc)
IE000H1H16W5,CBUI.DE,iShares MSCI World Value Factor Advaced UCITS ETF USD (Acc)
LU0486851024,D5BL.DE,Xtrackers MSCI Europe Value UCITS ETF 1C
LU1598690169,LGWS.DE,Amundi MSCI EMU Value Factor ETF Distribution
NL0009272764,DTM.AS,VanEck Multi-Asset Conservative Allocation UCITS ETF
IE00018LB0D8,WF1E.DE,Invesco Markets II plc - Invesco S&P World Financials ESG UCITS ETF Acc
IE00B0M63623,IQQT.DE,iShares MSCI Taiwan UCITS ETF USD (Dist)
IE00BDQZN113,AWESGW.SW,UBS MSCI ACWI Universal UCITS ETF hUSD acc
DE000ETFL474,ELFB.DE,Deka Euro Prime ESG UCITS ETF
IE00BYTRR970,WFIN.MI,State Street SPDR MSCI World Financials UCITS ETF USD Acc
IE00B8X9NY41,FTGE.DE,First Trust Eurozone AlphaDEX UCITS ETF Class A Shares
DE000ETFL128,EL4L.DE,Deka iBoxx EUR Liquid Sovereign Diversified 1-3 UCITS ETF
IE00BQN1K901,CEMS.DE,iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Acc)
IE00BDQZMX67,AWESG.MI,UBS MSCI ACWI Universal UCITS ETF USD dis
IE00BYM11J43,ACWIU.SW,UBS MSCI ACWI SF UCITS ETF hUSD acc
IE00BYM11K57,ACWIE.MI,UBS MSCI ACWI SF UCITS ETF hEUR acc
IE00BFZPF439,XAT1.DE,Invesco USD AT1 CoCo Bond UCITS ETF EUR Hedged Dist
IE00BG13YH41,IEDL.L,iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Dist)
IE00BYVDRC61,ACUUKD.SW,UBS MSCI ACWI SF UCITS ETF hUSD Ukdis
IE00BYQCZL35,DXJD.SW,WisdomTree Japan Equity UCITS ETF - CHF Hedged Acc
IE00B441G979,IBCH.DE,iShares MSCI World EUR Hedged UCITS ETF (Acc)
IE00BYM11H29,ACWIA.MI,UBS MSCI ACWI SF UCITS ETF USD acc
IE00BDQZN774,AWESGS.SW,UBS MSCI ACWI Universal UCITS ETF hCHF acc
NL0010408704,TSWE.DE,VanEck World Equal Weight Screened UCITS ETF
IE00BKZGB098,HWWD.L,HSBC Multi Factor Worldwide Equity UCITS ETF
IE000EFHIFG3,WELX.DE,Amundi ETF ICAV - Amundi S&P World Communication Services Screened UCITS ETF Acc
IE00BJXFZ989,ACWUKD.SW,UBS MSCI ACWI SF UCITS ETF USD Ukdis
IE00BMH5Y327,V9N.DE,Global X Data Center REITS & Digital Infrastructure UCITS ETF USD Acc
IE00BMVB5M21,V40A.DE,Vanguard LifeStrategy 40% Equity UCITS ETF (EUR) Accumulating
IE00BQZJBX31,WTEE.DE,WisdomTree Europe Equity Income UCITS ETF
IE00BDQZN667,AWESGT.SW,UBS MSCI ACWI Universal UCITS ETF hCHF dis
IE00BDF16007,EEIA.MI,WisdomTree Europe Equity Income UCITS ETF Acc
IE00BMVB5N38,V40D.DE,Vanguard LifeStrategy 40% Equity UCITS ETF (EUR) Distributing
IE000ANYHV73,WELR.DE,Amundi ETF ICAV - Amundi S&P World Communication Services Screened UCITS ETF Dist
IE00B8NB3063,3ITL.MI,WisdomTree FTSE MIB 3x Daily Leveraged
IE00B3CNHG25,ETLX.DE,L&G Gold Mining UCITS ETF
IE00BZ0PKV06,IBC0.DE,iShares STOXX Europe Equity Multifactor UCITS ETF EUR (Acc)
IE00BG13YL86,IFSD.L,iShares STOXX Europe Equity Multifactor UCITS ETF EUR (Dist)
IE00BZ2GTT26,ACCUKD.SW,UBS MSCI ACWI SF UCITS ETF hCHF Ukdis
IE00BSPLC306,ZPRW.DE,State Street SPDR MSCI Europe Value UCITS ETF EUR Acc
NL0009272780,TOF.AS,VanEck Multi-Asset Growth Allocation UCITS ETF
IE00BYQCZF74,DXJP.L,WisdomTree Japan Equity UCITS ETF - GBP Hedged
IE00B23D8X81,6PSC.DE,Invesco RAFI Europe Fundamental Value UCITS ETF
IE00BGHQ0G80,XMAW.DE,Xtrackers MSCI AC World Screened UCITS ETF 1C
LU1829220216,LYY0.DE,Amundi MSCI All Country World UCITS ETF EUR Acc
IE00BYM11L64,ACWIS.SW,UBS MSCI ACWI SF UCITS ETF hCHF acc
IE00BG7PP820,XLCS.MI,Invesco Communications S&P US Select Sector UCITS ETF USD Acc
IE00B8GKDB10,VGWD.DE,Vanguard FTSE All-World High Dividend Yield UCITS ETF USD Distributing
